long	lat	order	hole	piece	group	AREASQKM16
146.792579991	-35.672966999	1	FALSE	1	521.1	367.5445
146.794251435	-35.6640409899999	2	FALSE	1	521.1	367.5445
146.794243004	-35.664040009	3	FALSE	1	521.1	367.5445
146.794278993	-35.663861003	4	FALSE	1	521.1	367.5445
146.795717202	-35.6560769619999	5	FALSE	1	521.1	367.5445
146.796851987	-35.649560004	6	FALSE	1	521.1	367.5445
146.796788988	-35.649265003	7	FALSE	1	521.1	367.5445
146.786799011	-35.6480509959999	8	FALSE	1	521.1	367.5445
146.787492986	-35.644611994	9	FALSE	1	521.1	367.5445
146.787582995	-35.644072996	10	FALSE	1	521.1	367.5445
146.78694399	-35.643986009	11	FALSE	1	521.1	367.5445
146.784184991	-35.643581007	12	FALSE	1	521.1	367.5445
146.785095994	-35.639200003	13	FALSE	1	521.1	367.5445
146.779801998	-35.638490991	14	FALSE	1	521.1	367.5445
146.776538022	-35.639950993	15	FALSE	1	521.1	367.5445
146.769655983	-35.639059996	16	FALSE	1	521.1	367.5445
146.772031987	-35.6266659949999	17	FALSE	1	521.1	367.5445
146.764406991	-35.6257090079999	18	FALSE	1	521.1	367.5445
146.760606027	-35.625233003	19	FALSE	1	521.1	367.5445
146.759464016	-35.625088999	20	FALSE	1	521.1	367.5445
146.749431005	-35.6238299999999	21	FALSE	1	521.1	367.5445
146.749212005	-35.6238019909999	22	FALSE	1	521.1	367.5445
146.750105999	-35.619239003	23	FALSE	1	521.1	367.5445
146.745623982	-35.6187010049999	24	FALSE	1	521.1	367.5445
146.744731995	-35.6232290089999	25	FALSE	1	521.1	367.5445
146.732057005	-35.621608002	26	FALSE	1	521.1	367.5445
146.731410991	-35.624956002	27	FALSE	1	521.1	367.5445
146.726735013	-35.624392992	28	FALSE	1	521.1	367.5445
146.727143995	-35.622364005	29	FALSE	1	521.1	367.5445
146.725668994	-35.6221529929999	30	FALSE	1	521.1	367.5445
146.725688996	-35.622055998	31	FALSE	1	521.1	367.5445
146.72649101	-35.6180089929999	32	FALSE	1	521.1	367.5445
146.721256983	-35.6173419949999	33	FALSE	1	521.1	367.5445
146.721692976	-35.615154998	34	FALSE	1	521.1	367.5445
146.722919996	-35.6090110009999	35	FALSE	1	521.1	367.5445
146.722971023	-35.608833993	36	FALSE	1	521.1	367.5445
146.726511998	-35.6092830059999	37	FALSE	1	521.1	367.5445
146.726884006	-35.6072759969999	38	FALSE	1	521.1	367.5445
146.743196987	-35.609413006	39	FALSE	1	521.1	367.5445
146.747976006	-35.5852959979999	40	FALSE	1	521.1	367.5445
146.748006994	-35.5851169929999	41	FALSE	1	521.1	367.5445
146.741898025	-35.584444998	42	FALSE	1	521.1	367.5445
146.745408997	-35.567145001	43	FALSE	1	521.1	367.5445
146.744603989	-35.567032003	44	FALSE	1	521.1	367.5445
146.744635489	-35.5668524609999	45	FALSE	1	521.1	367.5445
146.746992002	-35.5548180069999	46	FALSE	1	521.1	367.5445
146.765816986	-35.5573979989999	47	FALSE	1	521.1	367.5445
146.766505011	-35.553856007	48	FALSE	1	521.1	367.5445
146.782155993	-35.5558720079999	49	FALSE	1	521.1	367.5445
146.781626998	-35.558629007	50	FALSE	1	521.1	367.5445
146.798958001	-35.5609319979999	51	FALSE	1	521.1	367.5445
146.797885996	-35.5663209919999	52	FALSE	1	521.1	367.5445
146.798400536	-35.566386964	53	FALSE	1	521.1	367.5445
146.816687693	-35.568765731	54	FALSE	1	521.1	367.5445
146.835367408	-35.571192598	55	FALSE	1	521.1	367.5445
146.847483473	-35.572765079	56	FALSE	1	521.1	367.5445
146.85768599	-35.574087996	57	FALSE	1	521.1	367.5445
146.857479984	-35.574245005	58	FALSE	1	521.1	367.5445
146.854054021	-35.578391003	59	FALSE	1	521.1	367.5445
146.864366001	-35.579721005	60	FALSE	1	521.1	367.5445
146.863004989	-35.5867569989999	61	FALSE	1	521.1	367.5445
146.862510012	-35.5893220049999	62	FALSE	1	521.1	367.5445
146.860976976	-35.5891030029999	63	FALSE	1	521.1	367.5445
146.860485978	-35.589048002	64	FALSE	1	521.1	367.5445
146.860456011	-35.589228007	65	FALSE	1	521.1	367.5445
146.858535016	-35.5983749989999	66	FALSE	1	521.1	367.5445
146.858502021	-35.5985550039999	67	FALSE	1	521.1	367.5445
146.859647025	-35.598694993	68	FALSE	1	521.1	367.5445
146.856871018	-35.613197995	69	FALSE	1	521.1	367.5445
146.871624975	-35.6150799989999	70	FALSE	1	521.1	367.5445
146.869569003	-35.6265139989999	71	FALSE	1	521.1	367.5445
146.868178024	-35.626354991	72	FALSE	1	521.1	367.5445
146.867643993	-35.629036992	73	FALSE	1	521.1	367.5445
146.869609007	-35.6292810059999	74	FALSE	1	521.1	367.5445
146.869582033	-35.629460993	75	FALSE	1	521.1	367.5445
146.86636799	-35.645223992	76	FALSE	1	521.1	367.5445
146.878434999	-35.646771998	77	FALSE	1	521.1	367.5445
146.878651991	-35.646814992	78	FALSE	1	521.1	367.5445
146.87851643	-35.6475077979999	79	FALSE	1	521.1	367.5445
146.892179475	-35.649283762	80	FALSE	1	521.1	367.5445
146.889581405	-35.66306493	81	FALSE	1	521.1	367.5445
146.895043704	-35.663800675	82	FALSE	1	521.1	367.5445
146.895269018	-35.664053995	83	FALSE	1	521.1	367.5445
146.895436991	-35.664251002	84	FALSE	1	521.1	367.5445
146.889788981	-35.6675329939999	85	FALSE	1	521.1	367.5445
146.900815631	-35.679721146	86	FALSE	1	521.1	367.5445
146.900979005	-35.679890994	87	FALSE	1	521.1	367.5445
146.901100002	-35.679750006	88	FALSE	1	521.1	367.5445
146.901372	-35.679483994	89	FALSE	1	521.1	367.5445
146.901630019	-35.6792619939999	90	FALSE	1	521.1	367.5445
146.901874021	-35.6788719959999	91	FALSE	1	521.1	367.5445
146.901894024	-35.678646	92	FALSE	1	521.1	367.5445
146.901874021	-35.678483995	93	FALSE	1	521.1	367.5445
146.901797006	-35.678315997	94	FALSE	1	521.1	367.5445
146.901651007	-35.678106003	95	FALSE	1	521.1	367.5445
146.901434014	-35.6778440059999	96	FALSE	1	521.1	367.5445
146.901276991	-35.677616993	97	FALSE	1	521.1	367.5445
146.901234031	-35.677315998	98	FALSE	1	521.1	367.5445
146.901429999	-35.676685998	99	FALSE	1	521.1	367.5445
146.90179102	-35.6760429939999	100	FALSE	1	521.1	367.5445
146.901820001	-35.6758330009999	101	FALSE	1	521.1	367.5445
146.901806022	-35.675578996	102	FALSE	1	521.1	367.5445
146.901903988	-35.675265994	103	FALSE	1	521.1	367.5445
146.902122002	-35.675153995	104	FALSE	1	521.1	367.5445
146.902610993	-35.675112	105	FALSE	1	521.1	367.5445
146.903035013	-35.675124007	106	FALSE	1	521.1	367.5445
146.903423994	-35.675079995	107	FALSE	1	521.1	367.5445
146.903828013	-35.674994007	108	FALSE	1	521.1	367.5445
146.904328975	-35.674783995	109	FALSE	1	521.1	367.5445
146.904632984	-35.6746929939999	110	FALSE	1	521.1	367.5445
146.904883009	-35.6746929939999	111	FALSE	1	521.1	367.5445
