long	lat	order	hole	piece	group	AREASQKM16
149.171416683	-33.496069242	1	FALSE	1	612.1	630.7998
149.172296004	-33.491739873	2	FALSE	1	612.1	630.7998
149.177840208	-33.4925233289999	3	FALSE	1	612.1	630.7998
149.178406104	-33.492596885	4	FALSE	1	612.1	630.7998
149.185422864	-33.493591556	5	FALSE	1	612.1	630.7998
149.185452101	-33.493425574	6	FALSE	1	612.1	630.7998
149.186202541	-33.4897755979999	7	FALSE	1	612.1	630.7998
149.190485816	-33.490375516	8	FALSE	1	612.1	630.7998
149.191199646	-33.4869028439999	9	FALSE	1	612.1	630.7998
149.199965706	-33.48810416	10	FALSE	1	612.1	630.7998
149.200057795	-33.4876201819999	11	FALSE	1	612.1	630.7998
149.200167149	-33.487286164	12	FALSE	1	612.1	630.7998
149.200214015	-33.487182009	13	FALSE	1	612.1	630.7998
149.200299644	-33.487032991	14	FALSE	1	612.1	630.7998
149.200525542	-33.487265315	15	FALSE	1	612.1	630.7998
149.204865977	-33.4912676229999	16	FALSE	1	612.1	630.7998
149.20552805	-33.491760352	17	FALSE	1	612.1	630.7998
149.205962254	-33.4920328389999	18	FALSE	1	612.1	630.7998
149.206568811	-33.4923581799999	19	FALSE	1	612.1	630.7998
149.207189895	-33.4925849709999	20	FALSE	1	612.1	630.7998
149.207878979	-33.492796426	21	FALSE	1	612.1	630.7998
149.208833453	-33.492931643	22	FALSE	1	612.1	630.7998
149.209558417	-33.4894176409999	23	FALSE	1	612.1	630.7998
149.212246933	-33.489790916	24	FALSE	1	612.1	630.7998
149.213658096	-33.48281736	25	FALSE	1	612.1	630.7998
149.217052779	-33.483323538	26	FALSE	1	612.1	630.7998
149.217085008	-33.483158999	27	FALSE	1	612.1	630.7998
149.218131026	-33.478117009	28	FALSE	1	612.1	630.7998
149.215871018	-33.4777779959999	29	FALSE	1	612.1	630.7998
149.216651024	-33.4742459949999	30	FALSE	1	612.1	630.7998
149.220876994	-33.4748870019999	31	FALSE	1	612.1	630.7998
149.221776974	-33.470463004	32	FALSE	1	612.1	630.7998
149.221956992	-33.470489995	33	FALSE	1	612.1	630.7998
149.233007002	-33.4721899969999	34	FALSE	1	612.1	630.7998
149.237363021	-33.472858995	35	FALSE	1	612.1	630.7998
149.238127003	-33.4693910029999	36	FALSE	1	612.1	630.7998
149.238222013	-33.469410003	37	FALSE	1	612.1	630.7998
149.238316	-33.469430001	38	FALSE	1	612.1	630.7998
149.245468978	-33.4704689979999	39	FALSE	1	612.1	630.7998
149.245686992	-33.470500004	40	FALSE	1	612.1	630.7998
