long	lat	order	hole	piece	group	AREASQKM16
151.17077335	-33.8729559409999	1	FALSE	1	65.1	1.4931
151.17140126	-33.872529054	2	FALSE	1	65.1	1.4931
151.171990553	-33.872104442	3	FALSE	1	65.1	1.4931
151.172227766	-33.8719502449999	4	FALSE	1	65.1	1.4931
151.172321279	-33.871734387	5	FALSE	1	65.1	1.4931
151.172376394	-33.8717011599999	6	FALSE	1	65.1	1.4931
151.172438225	-33.871673707	7	FALSE	1	65.1	1.4931
151.172996018	-33.8715061149999	8	FALSE	1	65.1	1.4931
151.17321009	-33.8714530569999	9	FALSE	1	65.1	1.4931
151.173543993	-33.871314992	10	FALSE	1	65.1	1.4931
151.173571003	-33.871354008	11	FALSE	1	65.1	1.4931
151.173587026	-33.8713730069999	12	FALSE	1	65.1	1.4931
151.17362203	-33.871406992	13	FALSE	1	65.1	1.4931
151.173828985	-33.871518991	14	FALSE	1	65.1	1.4931
151.173896984	-33.871557009	15	FALSE	1	65.1	1.4931
151.17411102	-33.8716710059999	16	FALSE	1	65.1	1.4931
151.174258005	-33.8717460039999	17	FALSE	1	65.1	1.4931
151.174404006	-33.8718220019999	18	FALSE	1	65.1	1.4931
151.174547013	-33.871901997	19	FALSE	1	65.1	1.4931
151.174683997	-33.871987004	20	FALSE	1	65.1	1.4931
151.174807987	-33.872070994	21	FALSE	1	65.1	1.4931
151.174930007	-33.872158999	22	FALSE	1	65.1	1.4931
151.175047026	-33.872250999	23	FALSE	1	65.1	1.4931
151.175160979	-33.872345996	24	FALSE	1	65.1	1.4931
151.17527099	-33.872442992	25	FALSE	1	65.1	1.4931
151.175582007	-33.872315009	26	FALSE	1	65.1	1.4931
151.17561201	-33.8723010049999	27	FALSE	1	65.1	1.4931
151.175643983	-33.872287999	28	FALSE	1	65.1	1.4931
151.175675994	-33.872276991	29	FALSE	1	65.1	1.4931
151.17570899	-33.8722670019999	30	FALSE	1	65.1	1.4931
151.175742022	-33.872258991	31	FALSE	1	65.1	1.4931
151.175803999	-33.872251998	32	FALSE	1	65.1	1.4931
151.175866999	-33.872251998	33	FALSE	1	65.1	1.4931
151.175932005	-33.872257992	34	FALSE	1	65.1	1.4931
151.176189002	-33.872285002	35	FALSE	1	65.1	1.4931
151.176252986	-33.872292994	36	FALSE	1	65.1	1.4931
151.176315985	-33.872304001	37	FALSE	1	65.1	1.4931
151.176377999	-33.8723180059999	38	FALSE	1	65.1	1.4931
151.176480016	-33.872356005	39	FALSE	1	65.1	1.4931
151.176578018	-33.872405992	40	FALSE	1	65.1	1.4931
151.17676603	-33.872525002	41	FALSE	1	65.1	1.4931
151.176976927	-33.872621943	42	FALSE	1	65.1	1.4931
151.177010471	-33.872581243	43	FALSE	1	65.1	1.4931
151.177212535	-33.8726977549999	44	FALSE	1	65.1	1.4931
151.177274147	-33.8727225449999	45	FALSE	1	65.1	1.4931
151.177349884	-33.8726880799999	46	FALSE	1	65.1	1.4931
151.177329006	-33.872820004	47	FALSE	1	65.1	1.4931
151.177191839	-33.8734220489999	48	FALSE	1	65.1	1.4931
