long	lat	order	hole	piece	group	AREASQKM16
151.204741017	-33.8081970059999	1	FALSE	1	82.1	2.7281
151.204812995	-33.8078606949999	2	FALSE	1	82.1	2.7281
151.205109521	-33.806517409	3	FALSE	1	82.1	2.7281
151.205213984	-33.806540997	4	FALSE	1	82.1	2.7281
151.205957014	-33.806670996	5	FALSE	1	82.1	2.7281
151.206091991	-33.806628003	6	FALSE	1	82.1	2.7281
151.206189009	-33.8065959969999	7	FALSE	1	82.1	2.7281
151.206332016	-33.8065379999999	8	FALSE	1	82.1	2.7281
151.206428996	-33.806517003	9	FALSE	1	82.1	2.7281
151.206567988	-33.8065279919999	10	FALSE	1	82.1	2.7281
151.206778009	-33.806578996	11	FALSE	1	82.1	2.7281
151.207060008	-33.806464	12	FALSE	1	82.1	2.7281
151.207004017	-33.806704999	13	FALSE	1	82.1	2.7281
151.207470013	-33.806662006	14	FALSE	1	82.1	2.7281
151.207526003	-33.8068460069999	15	FALSE	1	82.1	2.7281
151.207520017	-33.806873997	16	FALSE	1	82.1	2.7281
151.207624991	-33.806890998	17	FALSE	1	82.1	2.7281
151.207644994	-33.8067983509999	18	FALSE	1	82.1	2.7281
151.207707226	-33.806530526	19	FALSE	1	82.1	2.7281
151.207739638	-33.8063944589999	20	FALSE	1	82.1	2.7281
151.207792015	-33.806162006	21	FALSE	1	82.1	2.7281
151.207813295	-33.8060723	22	FALSE	1	82.1	2.7281
151.207707956	-33.806053985	23	FALSE	1	82.1	2.7281
151.207891003	-33.805986996	24	FALSE	1	82.1	2.7281
151.208326996	-33.805719005	25	FALSE	1	82.1	2.7281
151.20861301	-33.805668999	26	FALSE	1	82.1	2.7281
151.208915011	-33.805676991	27	FALSE	1	82.1	2.7281
151.209059952	-33.805673329	28	FALSE	1	82.1	2.7281
151.209123937	-33.805413533	29	FALSE	1	82.1	2.7281
151.209265703	-33.805352964	30	FALSE	1	82.1	2.7281
151.209497952	-33.805350855	31	FALSE	1	82.1	2.7281
151.210103962	-33.805347858	32	FALSE	1	82.1	2.7281
151.210599815	-33.805344232	33	FALSE	1	82.1	2.7281
151.210798922	-33.8052428519999	34	FALSE	1	82.1	2.7281
151.211156914	-33.8050638459999	35	FALSE	1	82.1	2.7281
151.211314923	-33.8049828339999	36	FALSE	1	82.1	2.7281
151.211906588	-33.8046867969999	37	FALSE	1	82.1	2.7281
151.211959622	-33.804682839	38	FALSE	1	82.1	2.7281
151.211943014	-33.804750992	39	FALSE	1	82.1	2.7281
151.212172016	-33.804637995	40	FALSE	1	82.1	2.7281
151.212385979	-33.804528992	41	FALSE	1	82.1	2.7281
151.212576983	-33.804502001	42	FALSE	1	82.1	2.7281
151.212740978	-33.8045489909999	43	FALSE	1	82.1	2.7281
151.212983009	-33.804619994	44	FALSE	1	82.1	2.7281
151.213105393	-33.804790231	45	FALSE	1	82.1	2.7281
151.213355017	-33.805068008	46	FALSE	1	82.1	2.7281
151.21356898	-33.805125007	47	FALSE	1	82.1	2.7281
151.213424002	-33.805532007	48	FALSE	1	82.1	2.7281
151.213370018	-33.805661008	49	FALSE	1	82.1	2.7281
