long	lat	order	hole	piece	group	AREASQKM16
144.238218996	-35.413482003	1	FALSE	1	559.1	1849.8493
144.237420012	-35.4181070029999	2	FALSE	1	559.1	1849.8493
144.225048008	-35.4295879919999	3	FALSE	1	559.1	1849.8493
144.224255994	-35.4302210069999	4	FALSE	1	559.1	1849.8493
144.227520007	-35.432955991	5	FALSE	1	559.1	1849.8493
144.225626022	-35.4363229909999	6	FALSE	1	559.1	1849.8493
144.222666967	-35.438556015	7	FALSE	1	559.1	1849.8493
144.222504177	-35.438678892	8	FALSE	1	559.1	1849.8493
144.223119019	-35.439549003	9	FALSE	1	559.1	1849.8493
144.223033974	-35.4405790079999	10	FALSE	1	559.1	1849.8493
144.223482012	-35.4406819979999	11	FALSE	1	559.1	1849.8493
144.223311995	-35.4420670009999	12	FALSE	1	559.1	1849.8493
144.227407003	-35.4463039999999	13	FALSE	1	559.1	1849.8493
144.226871986	-35.4465659969999	14	FALSE	1	559.1	1849.8493
144.227140991	-35.446841999	15	FALSE	1	559.1	1849.8493
144.227100987	-35.447232996	16	FALSE	1	559.1	1849.8493
144.22709803	-35.4472539939999	17	FALSE	1	559.1	1849.8493
144.228147989	-35.4473680089999	18	FALSE	1	559.1	1849.8493
144.228230991	-35.4475180069999	19	FALSE	1	559.1	1849.8493
144.231362033	-35.450746997	20	FALSE	1	559.1	1849.8493
144.231543986	-35.451057001	21	FALSE	1	559.1	1849.8493
144.231739005	-35.4517210029999	22	FALSE	1	559.1	1849.8493
144.231794996	-35.452132999	23	FALSE	1	559.1	1849.8493
144.232018997	-35.452162006	24	FALSE	1	559.1	1849.8493
144.231944975	-35.4525389999999	25	FALSE	1	559.1	1849.8493
144.23457699	-35.454904003	26	FALSE	1	559.1	1849.8493
144.236171018	-35.455648998	27	FALSE	1	559.1	1849.8493
144.238060002	-35.457942998	28	FALSE	1	559.1	1849.8493
144.230990025	-35.459502992	29	FALSE	1	559.1	1849.8493
144.226800993	-35.4844939939999	30	FALSE	1	559.1	1849.8493
144.224205989	-35.499967006	31	FALSE	1	559.1	1849.8493
144.233759025	-35.501154003	32	FALSE	1	559.1	1849.8493
144.234330031	-35.501192002	33	FALSE	1	559.1	1849.8493
144.229695005	-35.5051149999999	34	FALSE	1	559.1	1849.8493
144.221730012	-35.506537003	35	FALSE	1	559.1	1849.8493
144.221652012	-35.5065659919999	36	FALSE	1	559.1	1849.8493
144.21492601	-35.508712991	37	FALSE	1	559.1	1849.8493
144.210668979	-35.508901007	38	FALSE	1	559.1	1849.8493
144.210050012	-35.5089289979999	39	FALSE	1	559.1	1849.8493
144.209763998	-35.5108260059999	40	FALSE	1	559.1	1849.8493
144.209804002	-35.5108430079999	41	FALSE	1	559.1	1849.8493
144.209990006	-35.510981998	42	FALSE	1	559.1	1849.8493
144.210071985	-35.5110690029999	43	FALSE	1	559.1	1849.8493
144.210214006	-35.511294001	44	FALSE	1	559.1	1849.8493
144.210336975	-35.5114530079999	45	FALSE	1	559.1	1849.8493
144.210352013	-35.5117239959999	46	FALSE	1	559.1	1849.8493
144.210410997	-35.5118960089999	47	FALSE	1	559.1	1849.8493
144.210300986	-35.512133993	48	FALSE	1	559.1	1849.8493
144.210170024	-35.512406998	49	FALSE	1	559.1	1849.8493
144.209995992	-35.512695006	50	FALSE	1	559.1	1849.8493
144.209736002	-35.513103005	51	FALSE	1	559.1	1849.8493
144.209542991	-35.5133400079999	52	FALSE	1	559.1	1849.8493
144.209328006	-35.513593995	53	FALSE	1	559.1	1849.8493
144.209024983	-35.5140519989999	54	FALSE	1	559.1	1849.8493
144.20889402	-35.5143070029999	55	FALSE	1	559.1	1849.8493
144.208741998	-35.5145620069999	56	FALSE	1	559.1	1849.8493
144.208652974	-35.514784007	57	FALSE	1	559.1	1849.8493
144.208610014	-35.514868996	58	FALSE	1	559.1	1849.8493
144.208604977	-35.515125998	59	FALSE	1	559.1	1849.8493
144.208787002	-35.5153849979999	60	FALSE	1	559.1	1849.8493
144.208930995	-35.515559009	61	FALSE	1	559.1	1849.8493
144.209138023	-35.5156639969999	62	FALSE	1	559.1	1849.8493
144.209451011	-35.515736997	63	FALSE	1	559.1	1849.8493
144.209660009	-35.5157569959999	64	FALSE	1	559.1	1849.8493
144.210204005	-35.515765006	65	FALSE	1	559.1	1849.8493
144.210476989	-35.5157340009999	66	FALSE	1	559.1	1849.8493
144.210793006	-35.515686992	67	FALSE	1	559.1	1849.8493
144.211339995	-35.515574993	68	FALSE	1	559.1	1849.8493
144.212032984	-35.515481993	69	FALSE	1	559.1	1849.8493
144.212474013	-35.515454003	70	FALSE	1	559.1	1849.8493
144.212935994	-35.5154089929999	71	FALSE	1	559.1	1849.8493
144.213647014	-35.5154360029999	72	FALSE	1	559.1	1849.8493
144.214232	-35.5155470029999	73	FALSE	1	559.1	1849.8493
144.214419025	-35.515618006	74	FALSE	1	559.1	1849.8493
144.214878998	-35.515659002	75	FALSE	1	559.1	1849.8493
144.215234034	-35.5157150009999	76	FALSE	1	559.1	1849.8493
144.215920015	-35.515963993	77	FALSE	1	559.1	1849.8493
144.216440979	-35.516108996	78	FALSE	1	559.1	1849.8493
144.217024979	-35.516218997	79	FALSE	1	559.1	1849.8493
144.217546017	-35.516364	80	FALSE	1	559.1	1849.8493
144.217899994	-35.5164540019999	81	FALSE	1	559.1	1849.8493
144.218212982	-35.516544005	82	FALSE	1	559.1	1849.8493
144.218836	-35.5167929959999	83	FALSE	1	559.1	1849.8493
144.218939988	-35.5168629999999	84	FALSE	1	559.1	1849.8493
144.218999994	-35.517017993	85	FALSE	1	559.1	1849.8493
144.219035983	-35.517274995	86	FALSE	1	559.1	1849.8493
144.219052007	-35.5175149959999	87	FALSE	1	559.1	1849.8493
144.218858995	-35.5177349969999	88	FALSE	1	559.1	1849.8493
144.218668976	-35.517801006	89	FALSE	1	559.1	1849.8493
144.218352995	-35.517864997	90	FALSE	1	559.1	1849.8493
144.218038	-35.517912006	91	FALSE	1	559.1	1849.8493
144.217867983	-35.518029998	92	FALSE	1	559.1	1849.8493
144.217716983	-35.518215998	93	FALSE	1	559.1	1849.8493
144.217710997	-35.518490001	94	FALSE	1	559.1	1849.8493
144.217751987	-35.518576007	95	FALSE	1	559.1	1849.8493
144.217849004	-35.518691004	96	FALSE	1	559.1	1849.8493
144.218095999	-35.5187959909999	97	FALSE	1	559.1	1849.8493
144.21840603	-35.518868992	98	FALSE	1	559.1	1849.8493
144.218780009	-35.518891007	99	FALSE	1	559.1	1849.8493
144.219068979	-35.518929006	100	FALSE	1	559.1	1849.8493
144.219463982	-35.5189340009999	101	FALSE	1	559.1	1849.8493
144.219775985	-35.518904993	102	FALSE	1	559.1	1849.8493
144.220066999	-35.5189090069999	103	FALSE	1	559.1	1849.8493
144.220191026	-35.5189270079999	104	FALSE	1	559.1	1849.8493
144.220293007	-35.519013995	105	FALSE	1	559.1	1849.8493
144.220348013	-35.519371008	106	FALSE	1	559.1	1849.8493
144.220318995	-35.5197780079999	107	FALSE	1	559.1	1849.8493
144.220291985	-35.520083998	108	FALSE	1	559.1	1849.8493
144.220223	-35.520404992	109	FALSE	1	559.1	1849.8493
144.22003101	-35.5206229959999	110	FALSE	1	559.1	1849.8493
144.219819018	-35.520858001	111	FALSE	1	559.1	1849.8493
144.219418029	-35.5211409959999	112	FALSE	1	559.1	1849.8493
144.218976999	-35.5213900059999	113	FALSE	1	559.1	1849.8493
144.218705001	-35.521470998	114	FALSE	1	559.1	1849.8493
144.218286018	-35.5216350009999	115	FALSE	1	559.1	1849.8493
144.217992996	-35.521766999	116	FALSE	1	559.1	1849.8493
144.217740014	-35.5219500009999	117	FALSE	1	559.1	1849.8493
144.217568975	-35.5221349999999	118	FALSE	1	559.1	1849.8493
144.217458015	-35.5224729949999	119	FALSE	1	559.1	1849.8493
144.217411989	-35.522727001	120	FALSE	1	559.1	1849.8493
144.217300007	-35.523081997	121	FALSE	1	559.1	1849.8493
144.21725201	-35.5234040079999	122	FALSE	1	559.1	1849.8493
144.217224014	-35.5237770049999	123	FALSE	1	559.1	1849.8493
144.217162	-35.524226999	124	FALSE	1	559.1	1849.8493
144.217240986	-35.5244650019999	125	FALSE	1	559.1	1849.8493
144.217438013	-35.524944004	126	FALSE	1	559.1	1849.8493
144.217806992	-35.525187001	127	FALSE	1	559.1	1849.8493
144.218094028	-35.525359994	128	FALSE	1	559.1	1849.8493
144.218800996	-35.525336	129	FALSE	1	559.1	1849.8493
144.219176983	-35.525240004	130	FALSE	1	559.1	1849.8493
144.219639	-35.525041998	131	FALSE	1	559.1	1849.8493
144.21997699	-35.524741003	132	FALSE	1	559.1	1849.8493
144.220399003	-35.524441007	133	FALSE	1	559.1	1849.8493
144.221150027	-35.524281999	134	FALSE	1	559.1	1849.8493
144.221693001	-35.524119995	135	FALSE	1	559.1	1849.8493
144.222110013	-35.524058002	136	FALSE	1	559.1	1849.8493
144.222650031	-35.5240989979999	137	FALSE	1	559.1	1849.8493
144.223102996	-35.524275007	138	FALSE	1	559.1	1849.8493
144.223472997	-35.524449998	139	FALSE	1	559.1	1849.8493
144.223799014	-35.5247940049999	140	FALSE	1	559.1	1849.8493
144.223911982	-35.525338997	141	FALSE	1	559.1	1849.8493
144.224019986	-35.526155994	142	FALSE	1	559.1	1849.8493
144.22405101	-35.526631999	143	FALSE	1	559.1	1849.8493
144.224126018	-35.527039998	144	FALSE	1	559.1	1849.8493
144.224452985	-35.5273169989999	145	FALSE	1	559.1	1849.8493
144.224655012	-35.527556999	146	FALSE	1	559.1	1849.8493
144.225196015	-35.5275310069999	147	FALSE	1	559.1	1849.8493
144.226111983	-35.527442003	148	FALSE	1	559.1	1849.8493
144.226823003	-35.5272479939999	149	FALSE	1	559.1	1849.8493
144.228409001	-35.526895994	150	FALSE	1	559.1	1849.8493
144.22908301	-35.526429998	151	FALSE	1	559.1	1849.8493
144.229510023	-35.525857996	152	FALSE	1	559.1	1849.8493
144.229771984	-35.525283996	153	FALSE	1	559.1	1849.8493
144.230075007	-35.524710996	154	FALSE	1	559.1	1849.8493
144.23050202	-35.5241389949999	155	FALSE	1	559.1	1849.8493
144.231098029	-35.523433997	156	FALSE	1	559.1	1849.8493
144.231647025	-35.523000005	157	FALSE	1	559.1	1849.8493
144.232487985	-35.5225360069999	158	FALSE	1	559.1	1849.8493
144.23332201	-35.522343995	159	FALSE	1	559.1	1849.8493
144.234035001	-35.522047995	160	FALSE	1	559.1	1849.8493
144.234956991	-35.5216530019999	161	FALSE	1	559.1	1849.8493
144.235962019	-35.521259007	162	FALSE	1	559.1	1849.8493
144.236838019	-35.521101998	163	FALSE	1	559.1	1849.8493
144.237506991	-35.5209070079999	164	FALSE	1	559.1	1849.8493
144.238339008	-35.520851008	165	FALSE	1	559.1	1849.8493
144.240328988	-35.5210819989999	166	FALSE	1	559.1	1849.8493
144.240743008	-35.521120997	167	FALSE	1	559.1	1849.8493
144.241070997	-35.521363995	168	FALSE	1	559.1	1849.8493
144.241315985	-35.521537007	169	FALSE	1	559.1	1849.8493
144.241430996	-35.522047995	170	FALSE	1	559.1	1849.8493
144.241422017	-35.522454995	171	FALSE	1	559.1	1849.8493
144.241360004	-35.5225530079999	172	FALSE	1	559.1	1849.8493
144.24177698	-35.522818002	173	FALSE	1	559.1	1849.8493
144.242059015	-35.5230380039999	174	FALSE	1	559.1	1849.8493
144.242359994	-35.523419992	175	FALSE	1	559.1	1849.8493
144.242487015	-35.5236739969999	176	FALSE	1	559.1	1849.8493
144.242590017	-35.524000004	177	FALSE	1	559.1	1849.8493
144.242628014	-35.524305994	178	FALSE	1	559.1	1849.8493
144.242644001	-35.524613002	179	FALSE	1	559.1	1849.8493
144.242727002	-35.5248300069999	180	FALSE	1	559.1	1849.8493
144.242878002	-35.524994009	181	FALSE	1	559.1	1849.8493
144.24314	-35.525124009	182	FALSE	1	559.1	1849.8493
144.243379987	-35.525217008	183	FALSE	1	559.1	1849.8493
144.243991982	-35.525477007	184	FALSE	1	559.1	1849.8493
144.244407024	-35.5256270049999	185	FALSE	1	559.1	1849.8493
144.244602992	-35.525720005	186	FALSE	1	559.1	1849.8493
144.244909008	-35.525886005	187	FALSE	1	559.1	1849.8493
144.245410993	-35.526091004	188	FALSE	1	559.1	1849.8493
144.24582702	-35.5262050009999	189	FALSE	1	559.1	1849.8493
144.24604299	-35.5264240029999	190	FALSE	1	559.1	1849.8493
144.246172018	-35.5265880059999	191	FALSE	1	559.1	1849.8493
144.246378024	-35.526704001	192	FALSE	1	559.1	1849.8493
144.246530996	-35.5267239999999	193	FALSE	1	559.1	1849.8493
144.246900996	-35.526800997	194	FALSE	1	559.1	1849.8493
144.247291984	-35.526859993	195	FALSE	1	559.1	1849.8493
