long	lat	order	hole	piece	group	AREASQKM16
151.188686966	-33.866361894	1	FALSE	1	39.1	0.9325
151.18907299	-33.865923	2	FALSE	1	39.1	0.9325
151.189240014	-33.8660320019999	3	FALSE	1	39.1	0.9325
151.189508983	-33.865766009	4	FALSE	1	39.1	0.9325
151.189988995	-33.865406998	5	FALSE	1	39.1	0.9325
151.190211024	-33.8654720069999	6	FALSE	1	39.1	0.9325
151.190315013	-33.865504993	7	FALSE	1	39.1	0.9325
151.190419987	-33.865539995	8	FALSE	1	39.1	0.9325
151.190524997	-33.8655729989999	9	FALSE	1	39.1	0.9325
151.190630007	-33.865597992	10	FALSE	1	39.1	0.9325
151.190736003	-33.865609	11	FALSE	1	39.1	0.9325
151.190790023	-33.865609	12	FALSE	1	39.1	0.9325
151.190844007	-33.8656070019999	13	FALSE	1	39.1	0.9325
151.190899013	-33.865602007	14	FALSE	1	39.1	0.9325
151.190954018	-33.865594995	15	FALSE	1	39.1	0.9325
151.191006031	-33.865585005	16	FALSE	1	39.1	0.9325
151.191134401	-33.8655529449999	17	FALSE	1	39.1	0.9325
151.191120239	-33.8655084709999	18	FALSE	1	39.1	0.9325
151.19124277	-33.865472155	19	FALSE	1	39.1	0.9325
151.191234995	-33.865454007	20	FALSE	1	39.1	0.9325
151.1913968	-33.865404612	21	FALSE	1	39.1	0.9325
151.191368731	-33.8653375119999	22	FALSE	1	39.1	0.9325
151.19128073	-33.865364374	23	FALSE	1	39.1	0.9325
151.191246784	-33.865289893	24	FALSE	1	39.1	0.9325
151.191242332	-33.865276203	25	FALSE	1	39.1	0.9325
151.191274013	-33.8652639929999	26	FALSE	1	39.1	0.9325
151.191014024	-33.864660005	27	FALSE	1	39.1	0.9325
151.190973984	-33.864425	28	FALSE	1	39.1	0.9325
151.190776336	-33.863936618	29	FALSE	1	39.1	0.9325
151.190812288	-33.863892274	30	FALSE	1	39.1	0.9325
151.190877003	-33.863850001	31	FALSE	1	39.1	0.9325
151.190912992	-33.8638300019999	32	FALSE	1	39.1	0.9325
151.190952011	-33.8638139999999	33	FALSE	1	39.1	0.9325
151.19160098	-33.863519998	34	FALSE	1	39.1	0.9325
151.192080992	-33.863256003	35	FALSE	1	39.1	0.9325
151.194011003	-33.862375995	36	FALSE	1	39.1	0.9325
151.194044984	-33.8623709999999	37	FALSE	1	39.1	0.9325
151.194081995	-33.8623709999999	38	FALSE	1	39.1	0.9325
151.194119006	-33.862375995	39	FALSE	1	39.1	0.9325
151.19415401	-33.862385004	40	FALSE	1	39.1	0.9325
151.194184998	-33.862397992	41	FALSE	1	39.1	0.9325
151.19421	-33.862415992	42	FALSE	1	39.1	0.9325
151.194232995	-33.8624400049999	43	FALSE	1	39.1	0.9325
151.194252012	-33.862467995	44	FALSE	1	39.1	0.9325
151.194267013	-33.862496005	45	FALSE	1	39.1	0.9325
151.194279022	-33.862536002	46	FALSE	1	39.1	0.9325
151.194283001	-33.862559996	47	FALSE	1	39.1	0.9325
151.194283001	-33.8625840089999	48	FALSE	1	39.1	0.9325
151.193444011	-33.8637969989999	49	FALSE	1	39.1	0.9325
151.193411016	-33.863882006	50	FALSE	1	39.1	0.9325
151.193391013	-33.864039996	51	FALSE	1	39.1	0.9325
151.193590011	-33.864365004	52	FALSE	1	39.1	0.9325
151.193758021	-33.8642819949999	53	FALSE	1	39.1	0.9325
151.195216999	-33.862479003	54	FALSE	1	39.1	0.9325
151.196139025	-33.8625910019999	55	FALSE	1	39.1	0.9325
151.194207008	-33.865091999	56	FALSE	1	39.1	0.9325
