long	lat	order	hole	piece	group	AREASQKM16
133.914951992	-23.7098539949999	1	FALSE	1	30.1	72.1518
133.90957525	-23.6997284079999	2	FALSE	1	30.1	72.1518
133.912270008	-23.6942249909999	3	FALSE	1	30.1	72.1518
133.911674	-23.6931210029999	4	FALSE	1	30.1	72.1518
133.910956008	-23.6935470029999	5	FALSE	1	30.1	72.1518
133.910267984	-23.692188992	6	FALSE	1	30.1	72.1518
133.909622007	-23.691303008	7	FALSE	1	30.1	72.1518
133.909483014	-23.6910140009999	8	FALSE	1	30.1	72.1518
133.910415005	-23.690731007	9	FALSE	1	30.1	72.1518
133.912200001	-23.691174008	10	FALSE	1	30.1	72.1518
133.913291023	-23.6909819969999	11	FALSE	1	30.1	72.1518
133.913308981	-23.690702998	12	FALSE	1	30.1	72.1518
133.913251019	-23.684905006	13	FALSE	1	30.1	72.1518
133.908806012	-23.681551992	14	FALSE	1	30.1	72.1518
133.908208982	-23.6808659929999	15	FALSE	1	30.1	72.1518
133.906158996	-23.680827994	16	FALSE	1	30.1	72.1518
133.897896016	-23.683975991	17	FALSE	1	30.1	72.1518
133.89701111	-23.684481892	18	FALSE	1	30.1	72.1518
133.897010818	-23.684402435	19	FALSE	1	30.1	72.1518
133.897011987	-23.679330993	20	FALSE	1	30.1	72.1518
133.897022024	-23.6647889939999	21	FALSE	1	30.1	72.1518
133.894370992	-23.6647869949999	22	FALSE	1	30.1	72.1518
133.89435902	-23.660245005	23	FALSE	1	30.1	72.1518
133.893635737	-23.660246152	24	FALSE	1	30.1	72.1518
133.86924202	-23.660285002	25	FALSE	1	30.1	72.1518
133.861087993	-23.660292994	26	FALSE	1	30.1	72.1518
133.860624005	-23.660293993	27	FALSE	1	30.1	72.1518
133.860089353	-23.6602986739999	28	FALSE	1	30.1	72.1518
133.855305334	-23.660296102	29	FALSE	1	30.1	72.1518
133.855304239	-23.664812544	30	FALSE	1	30.1	72.1518
133.853375543	-23.6648135799999	31	FALSE	1	30.1	72.1518
133.851364977	-23.664726001	32	FALSE	1	30.1	72.1518
133.811187237	-23.6648189269999	33	FALSE	1	30.1	72.1518
133.811087081	-23.6600245409999	34	FALSE	1	30.1	72.1518
133.810933233	-23.642587717	35	FALSE	1	30.1	72.1518
133.810788073	-23.630505904	36	FALSE	1	30.1	72.1518
133.842821313	-23.6305103619999	37	FALSE	1	30.1	72.1518
133.865482228	-23.6305186129999	38	FALSE	1	30.1	72.1518
133.866075645	-23.630510713	39	FALSE	1	30.1	72.1518
133.867300767	-23.630510973	40	FALSE	1	30.1	72.1518
133.867409063	-23.630511009	41	FALSE	1	30.1	72.1518
133.868086028	-23.6305205369999	42	FALSE	1	30.1	72.1518
133.868615351	-23.630520389	43	FALSE	1	30.1	72.1518
133.874880576	-23.630521351	44	FALSE	1	30.1	72.1518
133.877735825	-23.6305199079999	45	FALSE	1	30.1	72.1518
133.883567868	-23.6305110279999	46	FALSE	1	30.1	72.1518
133.906927613	-23.630509345	47	FALSE	1	30.1	72.1518
133.919497812	-23.6305076429999	48	FALSE	1	30.1	72.1518
133.919508177	-23.6648081229999	49	FALSE	1	30.1	72.1518
133.940413699	-23.664822886	50	FALSE	1	30.1	72.1518
133.940417056	-23.685059166	51	FALSE	1	30.1	72.1518
133.940419246	-23.710725104	52	FALSE	1	30.1	72.1518
133.940420816	-23.723886837	53	FALSE	1	30.1	72.1518
133.940458374	-23.734151155	54	FALSE	1	30.1	72.1518
133.940452644	-23.737883215	55	FALSE	1	30.1	72.1518
133.897029105	-23.7321574279999	56	FALSE	1	30.1	72.1518
